"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/15/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/16/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/17/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/18/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","18","75.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/19/2024","AQS","131210056","1","0.5","ppm","6","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/20/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/21/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","13","54.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/22/2024","AQS","131210056","1","0.5","ppm","6","NR-GA Tech","7","29.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/23/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/24/2024","AQS","131210056","1","0.5","ppm","6","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/25/2024","AQS","131210056","1","0.5","ppm","6","NR-GA Tech","18","75.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/26/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/27/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/28/2024","AQS","131210056","1","0.4","ppm","5","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/29/2024","AQS","131210056","1","0.5","ppm","6","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/30/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"03/31/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/01/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","18","75.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/02/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/03/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/04/2024","AQS","131210056","1","0.4","ppm","5","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/05/2024","AQS","131210056","1","0.4","ppm","5","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/06/2024","AQS","131210056","1","0.5","ppm","6","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/07/2024","AQS","131210056","1","1","ppm","11","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/08/2024","AQS","131210056","1","1.1","ppm","13","NR-GA Tech","18","75.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/09/2024","AQS","131210056","1","0.9","ppm","10","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/10/2024","AQS","131210056","1","0.9","ppm","10","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/11/2024","AQS","131210056","1","0.8","ppm","9","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/12/2024","AQS","131210056","1","0.5","ppm","6","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/13/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/14/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/15/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","18","75.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/16/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/17/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/18/2024","AQS","131210056","1","0.6","ppm","7","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/19/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/20/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/21/2024","AQS","131210056","1","0.5","ppm","6","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/22/2024","AQS","131210056","1","0.5","ppm","6","NR-GA Tech","18","75.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/23/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/24/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/25/2024","AQS","131210056","1","0.7","ppm","8","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/26/2024","AQS","131210056","1","0.9","ppm","10","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
"04/27/2024","AQS","131210056","1","0.8","ppm","9","NR-GA Tech","24","100.0000","42101","Carbon monoxide","054","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","121","Fulton","33.7784000008724","-84.3914"
